type,ip_addr,country_code,classification,blacklist
ip,94.156.248.22,GB,malicious,Mail Spammer|Abuseat.org|2024-04-05 12:06:44|2024-04-05 12:06:44;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2024-04-05 20:19:20|2024-04-14 19:31:56;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2024-04-05 20:19:34|2024-04-14 19:32:08;Malicious Host|CIArmy|2024-04-05 12:06:42|2024-04-16 11:55:44
ip,181.72.36.220,CL,suspicious,Malware Download|URLhaus Abuse.ch|2023-12-27 08:18:28|2023-12-27 09:18:31;Mail Spammer|Abuseat.org|2023-12-27 09:39:14|2023-12-27 09:41:51
ip,91.148.190.146,BG,malicious,Malicious Host|HoneyDB|2023-08-20 00:00:00|2023-08-20 00:00:00;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2023-06-03 10:58:16|2024-03-18 20:15:13;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2023-06-03 10:58:22|2024-03-18 20:15:30;Malicious Host|CIArmy|2023-05-27 07:23:20|2024-03-20 12:16:38
ip,198.235.24.201,CA,malicious,Bruteforce|Maltiverse|2023-04-16 15:13:09|2023-04-16 15:13:09;Malicious Host|Maltiverse|2023-04-15 16:18:16|2023-04-17 15:38:24;DDoS attack|Maltiverse|2023-04-15 08:16:20|2023-04-15 08:16:20;Hacking|Maltiverse|2023-04-15 00:01:16|2023-04-15 16:18:16;Port Scanner|Maltiverse|2023-04-14 23:00:36|2023-04-17 20:03:45;HTTP Attacker|Maltiverse|2023-04-14 23:00:36|2023-04-17 15:09:15;SSH Attacker|Blocklist.de|2023-08-31 03:32:42|2023-11-05 03:31:52;Malicious Host|HoneyDB|2023-04-23 00:00:00|2024-04-11 00:00:00
ip,206.168.34.143,US,suspicious,Mail Spammer|Abuseat.org|2024-03-29 12:42:38|2024-03-29 12:42:38;Malicious Host|CIArmy|2024-03-29 12:42:36|2024-04-16 12:33:55
ip,167.94.146.30,US,suspicious,Unauthorized scanning of hosts|Blocklist.net.ua|2022-09-13 03:32:39|2022-09-13 03:32:39;HTTP Attacker|Blocklist.de|2021-11-23 00:23:26|2021-12-03 04:40:17;Malicious Host|CIArmy|2021-11-16 05:40:24|2024-04-16 12:20:53
ip,79.124.60.194,BG,malicious,Hacking|Maltiverse|2023-05-24 06:20:07|2023-05-25 00:41:55;Bruteforce|Maltiverse|2023-05-24 05:39:19|2023-05-25 07:20:47;Malicious Host|Maltiverse|2023-05-24 05:04:02|2023-05-24 14:55:40;Port Scanner|Maltiverse|2023-05-24 04:51:08|2023-05-25 08:05:08;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2023-05-27 10:44:48|2024-03-18 20:12:02;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2023-05-27 10:44:53|2024-03-18 20:12:14;Malicious Host|CIArmy|2023-05-27 07:22:28|2024-03-20 12:15:11
ip,79.124.58.18,BG,malicious,Mail Spammer|Abuseat.org|2023-11-26 08:22:47|2023-11-26 08:22:47;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2023-11-28 14:20:19|2024-04-14 19:28:39;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2023-11-28 14:20:27|2024-04-14 19:28:50;Malicious Host|CIArmy|2023-11-26 08:22:45|2024-04-16 11:53:55
ip,146.70.128.189,ES,malicious,Mail Spammer|Abuseat.org|2024-04-09 12:08:28|2024-04-09 12:08:28;Malicious Host|CIArmy|2024-04-09 12:08:25|2024-04-12 01:05:20
ip,79.124.59.202,,malicious,Proxy|FireHOL|2023-07-02 23:09:29|2023-10-01 23:12:43;Malicious host|Talos Intelligence|2018-07-15 09:04:08|2018-07-15 09:04:08;Unauthorized scanning of hosts|Blocklist.net.ua|2021-05-09 12:05:45|2021-05-12 07:24:34;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2023-05-27 10:44:48|2024-03-18 20:12:01;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2023-05-27 10:44:53|2024-03-18 20:12:13;Malicious Host|CIArmy|2021-05-09 12:57:31|2024-03-20 12:15:10
