type,ip_addr,country_code,classification,blacklist
ip,167.94.146.78,US,suspicious,Unauthorized scanning of hosts|Blocklist.net.ua|2022-09-13 03:32:39|2022-09-13 03:32:39;Malicious Host|CIArmy|2022-04-27 03:54:10|2024-04-16 12:20:59
ip,89.248.163.205,NL,suspicious,ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2023-01-01 08:36:12|2023-01-17 08:52:30;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2023-01-01 08:36:07|2023-01-17 08:52:25;Malicious Host|CIArmy|2022-12-07 04:07:38|2023-01-16 06:44:52;DNS Poisoning|Maltiverse|2022-12-11 13:45:07|2022-12-12 20:15:06;HTTP Attacker|Maltiverse|2022-12-09 20:21:53|2022-12-09 20:21:53;HTTP Scrapper|Maltiverse|2022-12-06 15:01:55|2022-12-09 20:21:53;Malicious Host|Maltiverse|2022-12-02 05:30:38|2022-12-30 02:54:04;Hacking|Maltiverse|2022-11-26 16:14:52|2022-12-30 18:03:32;SSH Attacker|Maltiverse|2022-11-21 23:05:17|2022-12-02 15:40:53;Port Scanner|Maltiverse|2022-11-20 16:35:23|2022-12-31 06:15:18;Bruteforce|Maltiverse|2022-11-20 16:35:23|2022-12-30 20:28:14
ip,162.243.144.36,US,malicious,Mail Spammer|Abuseat.org|2023-06-21 09:04:17|2023-06-21 09:04:17;Malicious Host|HoneyDB|2023-11-04 00:00:00|2023-11-09 00:00:00;Malicious Host|CIArmy|2023-06-21 09:04:17|2024-04-16 12:18:25
ip,198.144.159.129,CA,whitelist,Malicious Host|CIArmy|2023-02-04 06:27:32|2024-04-13 12:35:30
ip,35.203.210.45,US,malicious,Malicious Host|HoneyDB|2023-11-03 00:00:00|2023-12-04 00:00:00;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2023-04-21 11:49:14|2024-04-14 18:53:21;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2023-04-21 11:49:19|2024-04-14 18:53:34;Malicious Host|CIArmy|2023-04-20 08:13:40|2024-04-16 11:39:32
ip,162.142.125.93,US,suspicious,Malicious Host|Alienvault Ip Reputation Database|2020-10-17 06:37:01|2020-12-15 06:31:44;Unauthorized scanning of hosts|Blocklist.net.ua|2020-10-17 01:39:44|2023-07-17 06:37:14;Malicious Host|HoneyDB|2023-10-08 00:00:00|2024-01-01 00:00:00;Malicious Host|CIArmy|2020-10-17 03:09:27|2024-04-16 12:15:36
ip,35.203.211.43,US,malicious,Malicious Host|HoneyDB|2023-04-27 00:00:00|2023-08-26 00:00:00;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2023-04-21 11:50:05|2024-04-14 18:55:23;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2023-04-21 11:50:10|2024-04-14 18:55:34;Malicious Host|CIArmy|2023-04-20 08:14:07|2024-04-16 11:40:27
ip,193.57.40.49,UA,suspicious,Mail Spammer|Barracuda|2022-12-28 07:00:36|2022-12-28 19:00:34;Malicious Host|CIArmy|2021-04-06 11:04:55|2024-03-15 12:39:03
ip,162.216.150.236,US,malicious,Malicious Host|HoneyDB|2023-07-27 00:00:00|2023-12-04 00:00:00;Malicious Host|CIArmy|2023-04-20 08:28:42|2024-04-16 12:17:05
ip,94.156.64.121,BG,suspicious,NTP Open Resolver|Rapid7 Open Data|2018-12-03 06:14:01|2020-03-02 02:30:53;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2023-12-12 12:34:53|2023-12-19 13:12:47;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2023-12-12 12:35:03|2023-12-19 13:12:56;Malicious Host|CIArmy|2023-12-08 08:13:59|2023-12-20 08:24:34
ip,185.242.226.6,NL,malicious,Mail Spammer|Abuseat.org|2024-02-16 09:57:59|2024-02-16 09:57:59;Malicious Host|CIArmy|2024-02-16 09:57:59|2024-04-16 12:25:59
ip,167.94.138.153,US,suspicious,Unauthorized scanning of hosts|Blocklist.net.ua|2022-09-13 03:32:37|2022-09-13 03:32:37;Malicious Host|CIArmy|2022-04-27 03:53:58|2024-04-16 12:20:36
ip,109.248.6.78,RU,malicious,Bruteforce login attacker|Blocklist.de|2022-11-26 02:01:18|2022-11-27 01:56:55;HTTP Attacker|Blocklist.de|2022-11-26 01:50:01|2022-11-27 01:48:54;Bruteforce|Maltiverse|2022-08-21 00:16:59|2022-08-21 23:33:11;Malicious Host|Maltiverse|2022-08-20 23:15:22|2022-08-20 23:15:22;Port Scanner|Maltiverse|2022-08-20 22:39:30|2022-08-22 21:07:35;Hacking|Maltiverse|2022-06-10 03:17:54|2022-08-21 10:19:44;Malicious Host|HoneyDB|2023-01-11 00:00:00|2024-01-01 00:00:00;Malicious Host|CIArmy|2022-08-23 02:10:57|2024-04-16 12:01:23
ip,198.235.24.123,CA,malicious,Mail Spammer|Blocklist.de|2023-08-11 03:15:06|2023-08-12 03:13:14;IMAP Attacker|Blocklist.de|2023-08-11 03:07:48|2023-08-12 03:05:33;Mail Spammer|Abuseat.org|2023-04-23 10:45:02|2023-04-23 10:45:02;IMAP Attacker|Maltiverse|2023-04-21 21:16:17|2023-04-22 21:10:02;IoT Attacker|Maltiverse|2023-04-19 22:17:47|2023-04-19 22:17:47;DDoS attack|Maltiverse|2023-04-18 06:18:50|2023-04-19 12:20:09;SSH Attacker|Maltiverse|2023-04-18 04:35:00|2023-04-21 23:19:38;HTTP Attacker|Maltiverse|2023-04-15 16:35:21|2023-04-23 07:13:09;Bruteforce|Maltiverse|2023-04-15 15:12:13|2023-04-23 03:59:08;Malicious Host|Maltiverse|2023-04-15 04:45:00|2023-04-23 04:35:41;Port Scanner|Maltiverse|2023-04-15 00:04:18|2023-04-23 10:03:35;Hacking|Maltiverse|2023-04-15 00:04:18|2023-04-23 07:31:39;SSH Attacker|Blocklist.de|2023-05-02 04:42:04|2024-03-09 03:48:10;Malicious Host|HoneyDB|2023-04-23 00:00:00|2024-04-11 00:00:00
