type,ip_addr,country_code,classification,blacklist
ip,171.252.188.163,VN,suspicious,Mail Spammer|Barracuda|2023-11-04 20:54:03|2023-11-04 20:54:03;Mail Spammer|Abuseat.org|2023-11-04 20:54:03|2023-11-04 20:54:03;HTTP Spammer|StopForumSpam.com|2023-11-04 20:54:02|2024-01-02 07:11:20
ip,91.148.190.150,BG,malicious,DDoS attack|Maltiverse|2023-05-25 17:24:35|2023-05-25 17:24:35;Port Scanner|Maltiverse|2023-05-25 07:09:50|2023-05-27 04:37:44;Hacking|Maltiverse|2023-05-25 07:09:49|2023-05-27 04:37:44;Bruteforce|Maltiverse|2023-05-25 07:09:49|2023-05-25 13:50:15;HTTP Scrapper|Maltiverse|2023-05-25 07:09:49|2023-05-25 07:09:49;HTTP Attacker|Maltiverse|2023-05-25 07:09:49|2023-05-25 07:09:49;Malicious Host|CIArmy|2023-05-27 07:23:21|2024-04-30 11:20:30;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2023-05-27 10:46:32|2024-05-01 19:23:22;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2023-05-27 10:46:37|2024-05-01 19:23:34
ip,154.212.141.198,HK,malicious,Malicious Host|CIArmy|2024-04-05 12:24:23|2024-05-05 11:42:25
ip,182.43.147.20,CN,malicious,Mail Spammer|Abuseat.org|2024-04-04 04:12:24|2024-04-04 04:12:24;SSH Attacker|Blocklist.de|2024-04-04 04:12:22|2024-04-05 04:13:59;Malicious Host|CIArmy|2024-04-18 12:19:39|2024-05-05 11:52:19
ip,190.83.154.206,TT,suspicious,HTTP Spammer|StopForumSpam.com|2021-03-26 16:16:50|2021-05-07 02:02:33
ip,118.26.36.18,CN,malicious,Mail Spammer|Abuseat.org|2024-01-07 08:42:08|2024-01-07 08:42:08;Malicious Host|HoneyDB|2024-02-02 00:00:00|2024-02-02 00:00:00;SSH Attacker|Blocklist.de|2024-03-13 03:50:43|2024-04-06 03:32:50;HTTP Spammer|StopForumSpam.com|2024-02-17 20:47:09|2024-04-29 19:42:44;HTTP flood requests to the websites|Blocklist.net.ua|2024-05-05 08:04:26|2024-05-05 08:04:26;Malicious Host|CIArmy|2024-01-07 08:42:07|2024-05-05 11:34:10
ip,193.163.125.100,GB,suspicious,Malicious Host|CIArmy|2021-07-04 02:51:45|2023-01-30 10:21:44;Unauthorized scanning of hosts|Blocklist.net.ua|2022-07-20 03:37:14|2023-09-01 06:49:58
ip,205.210.31.72,US,malicious,Mail Spammer|Abuseat.org|2023-04-23 10:46:22|2023-04-23 10:46:22;DDoS attack|Maltiverse|2023-04-18 16:19:19|2023-04-19 02:19:47;IMAP Attacker|Maltiverse|2023-04-17 21:12:57|2023-04-22 21:06:28;SSH Attacker|Maltiverse|2023-04-16 23:00:43|2023-04-22 22:52:20;Bruteforce|Maltiverse|2023-04-15 15:07:02|2023-04-22 21:06:28;Malicious Host|Maltiverse|2023-04-15 00:21:01|2023-04-23 05:09:04;Hacking|Maltiverse|2023-04-15 00:01:53|2023-04-23 07:31:40;Port Scanner|Maltiverse|2023-04-14 23:40:23|2023-04-23 10:03:55;HTTP Attacker|Maltiverse|2023-04-14 23:40:23|2023-04-22 16:41:26;SSH Attacker|Blocklist.de|2023-09-18 03:39:35|2024-01-26 03:43:48;Malicious Host|HoneyDB|2023-04-23 00:00:00|2024-02-02 00:00:00;Mail Spammer|Blocklist.de|2023-11-15 02:45:35|2024-04-16 03:07:13
ip,162.216.149.177,US,malicious,Mail Spammer|Abuseat.org|2023-12-14 08:53:24|2023-12-14 08:53:24;Malicious Host|CIArmy|2023-12-14 08:53:24|2024-05-05 11:44:16
ip,146.70.182.60,IT,suspicious,HTTP Spammer|Cleantalk.org|2023-07-13 08:32:16|2023-07-13 08:32:16;Mail Spammer|Abuseat.org|2023-07-13 08:32:17|2023-07-13 08:32:17
ip,176.199.210.147,DE,suspicious,IMAP Attacker|Blocklist.de|2019-05-28 01:58:29|2019-05-29 07:23:22;Mail Spammer|Blocklist.de|2019-05-28 02:05:28|2019-05-29 07:31:43;Unauthorized scanning of hosts|Blocklist.net.ua|2021-03-12 10:42:08|2021-03-18 10:42:06
ip,93.86.241.229,RS,suspicious,Anonymizer|FireHol|2022-12-29 19:58:18|2022-12-30 07:33:25;Mail Spammer|Barracuda|2022-12-29 19:58:18|2022-12-29 19:58:18;Proxy|FireHOL|2023-01-01 07:23:12|2024-03-27 14:17:27
ip,167.94.145.16,US,suspicious,HTTP Attacker|Blocklist.de|2021-11-29 04:53:34|2021-12-03 04:40:16;Unauthorized scanning of hosts|Blocklist.net.ua|2022-07-14 02:36:02|2023-04-21 07:01:34;Malicious Host|CIArmy|2021-11-20 00:45:06|2024-05-05 11:48:43
ip,162.243.149.37,,malicious,SSH Attacker|Blocklist.de|2019-05-25 02:02:51|2019-05-26 08:14:15;Malicious Host|Alienvault Ip Reputation Database|2019-04-04 06:49:56|2019-07-08 06:27:41;Malicious Host|HoneyDB|2023-08-21 00:00:00|2024-04-12 00:00:00;Mail Spammer|Blocklist.de|2024-03-07 02:49:10|2024-05-05 02:59:22;Malicious Host|CIArmy|2019-04-04 07:21:01|2024-05-05 11:46:53
ip,162.142.125.254,US,suspicious,Unauthorized scanning of hosts|Blocklist.net.ua|2022-07-20 03:18:49|2023-07-17 06:37:41;Malicious Host|CIArmy|2022-02-17 01:46:58|2024-05-05 11:43:51
ip,46.0.150.189,RU,suspicious,HTTP Spammer|StopForumSpam.com|2018-11-18 08:53:40|2018-11-18 08:53:40
ip,198.74.49.17,US,malicious,HTTP Spammer|StopForumSpam.com|2020-03-06 03:28:12|2020-03-06 03:28:12;Malicious Host|CIArmy|2024-04-02 12:49:02|2024-05-05 11:59:43
ip,103.164.77.156,CN,malicious,Mail Spammer|Abuseat.org|2023-12-19 08:44:14|2023-12-19 08:44:14;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2024-01-04 14:40:38|2024-03-03 14:09:13;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2024-01-04 14:40:46|2024-03-03 14:09:21;Malicious Host|HoneyDB|2024-01-02 00:00:00|2024-04-28 00:00:00;Malicious Host|CIArmy|2023-12-19 08:44:13|2024-05-05 11:26:45
ip,167.94.138.101,US,suspicious,Unauthorized scanning of hosts|Blocklist.net.ua|2022-09-13 03:32:36|2022-09-13 03:32:36;Scanning IPs|Maltiverse|2022-01-28 03:04:00|2022-03-03 11:06:00;Malicious Host|HoneyDB|2023-01-03 00:00:00|2023-11-10 00:00:00;Malicious Host|CIArmy|2022-04-27 03:53:51|2024-05-05 11:48:30
ip,167.94.138.136,US,suspicious,Unauthorized scanning of hosts|Blocklist.net.ua|2022-09-13 03:32:37|2022-09-13 03:32:37;Malicious Host|HoneyDB|2023-03-19 00:00:00|2024-04-11 00:00:00;Malicious Host|CIArmy|2022-04-27 03:53:54|2024-05-05 11:48:34
ip,43.133.64.54,KR,malicious,SIP Attacker|Maltiverse|2023-05-27 07:02:14|2023-05-27 07:02:14;HTTP Attacker|Maltiverse|2023-05-25 09:30:54|2023-05-25 09:30:54;DDoS attack|Maltiverse|2023-05-25 08:58:45|2023-05-26 15:00:03;Bruteforce|Maltiverse|2023-05-24 11:17:20|2023-05-26 22:12:43;SSH Attacker|Maltiverse|2023-05-24 11:17:20|2023-05-24 11:17:20;Port Scanner|Maltiverse|2023-05-24 09:58:24|2023-05-27 07:03:51;Hacking|Maltiverse|2023-05-24 09:58:24|2023-05-27 06:21:50;Malicious Host|Maltiverse|2023-05-24 09:58:24|2023-05-26 10:24:59;SSH Attacker|Blocklist.de|2024-02-26 04:01:12|2024-02-27 03:56:16;Malicious Host|HoneyDB|2023-07-06 00:00:00|2024-03-31 00:00:00;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2023-05-27 10:37:36|2024-05-04 20:05:11;Malicious Host|CIArmy|2023-05-27 07:18:40|2024-05-05 11:13:01;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2023-05-27 10:37:41|2024-05-05 19:16:29
ip,205.210.31.215,CA,malicious,Mail Spammer|Blocklist.de|2023-09-25 02:51:44|2023-09-26 02:56:37;IMAP Attacker|Blocklist.de|2023-09-25 02:41:43|2023-09-26 02:46:53;SSH Attacker|Blocklist.de|2023-12-07 03:24:49|2024-02-22 02:39:48;Malicious Host|HoneyDB|2023-04-15 00:00:00|2024-04-16 00:00:00
ip,35.203.210.177,US,malicious,Malicious Host|HoneyDB|2023-04-22 00:00:00|2023-08-18 00:00:00;Malicious Host|CIArmy|2023-04-20 08:13:29|2024-05-05 11:09:26;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2023-04-21 11:48:52|2024-05-05 19:08:56;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2023-04-21 11:48:57|2024-05-05 19:09:09
ip,103.56.114.148,HK,malicious,Mail Spammer|Abuseat.org|2024-04-13 12:02:04|2024-04-13 12:02:04;SSH Attacker|Blocklist.de|2024-04-22 03:47:49|2024-04-23 03:56:24;Malicious Host|HoneyDB|2024-04-28 00:00:00|2024-04-28 00:00:00;Malicious Host|CIArmy|2024-04-13 12:02:02|2024-05-05 11:27:14
ip,118.194.251.17,TH,malicious,Mail Spammer|Abuseat.org|2024-01-27 09:19:46|2024-01-27 09:19:46;Malicious Host|HoneyDB|2024-03-27 00:00:00|2024-04-19 00:00:00;SSH Attacker|Blocklist.de|2024-02-25 03:33:42|2024-05-05 03:53:43;Malicious Host|CIArmy|2024-01-27 09:14:37|2024-05-05 11:34:02
ip,206.168.34.137,US,suspicious,Mail Spammer|Abuseat.org|2024-03-29 12:42:36|2024-03-29 12:42:36;Malicious Host|CIArmy|2024-03-29 12:42:34|2024-05-05 12:00:50
ip,162.142.125.249,US,suspicious,Unauthorized scanning of hosts|Blocklist.net.ua|2022-07-20 03:18:49|2023-07-17 06:37:40;Malicious Host|CIArmy|2022-02-17 01:46:56|2024-05-05 11:43:50
ip,176.113.115.131,RU,suspicious,Mail Spammer|Abuseat.org|2024-04-15 07:12:58|2024-04-15 07:12:58
ip,117.80.234.157,CN,malicious,Mail Spammer|Abuseat.org|2023-09-19 01:21:51|2023-09-19 01:21:51;Malicious Host|HoneyDB|2023-09-18 00:00:00|2023-11-18 00:00:00;Malicious Host|CIArmy|2023-09-20 07:52:22|2024-05-05 11:33:35
ip,206.168.34.134,US,suspicious,Mail Spammer|Abuseat.org|2024-03-29 12:42:35|2024-03-29 12:42:35;Malicious Host|CIArmy|2024-03-29 12:42:33|2024-05-05 12:00:49
ip,207.180.192.206,DE,suspicious,Malware|Hybrid-Analysis|2021-12-07 13:01:03|2021-12-11 13:17:49
ip,84.239.41.150,RO,suspicious,Mail Spammer|Abuseat.org|2023-10-09 00:42:17|2023-10-09 00:42:17;HTTP Spammer|StopForumSpam.com|2023-10-09 00:42:17|2024-01-02 04:28:14
ip,94.156.66.222,NL,malicious,Malicious Host|HoneyDB|2024-04-28 00:00:00|2024-04-28 00:00:00
ip,205.210.31.204,CA,suspicious,IMAP Attacker|Blocklist.de|2023-10-20 02:40:18|2023-10-21 02:37:07;Mail Spammer|Blocklist.de|2023-10-20 02:52:37|2023-10-21 02:48:44;Malicious Host|HoneyDB|2023-04-15 00:00:00|2024-03-28 00:00:00;SSH Attacker|Blocklist.de|2023-04-16 03:01:37|2024-04-04 04:17:01
ip,198.235.24.221,CA,malicious,SSH Attacker|Blocklist.de|2023-05-06 04:53:41|2023-09-04 03:22:50;Bruteforce|Maltiverse|2023-04-15 15:34:36|2023-04-18 16:32:22;HTTP Scrapper|Maltiverse|2023-04-15 05:06:09|2023-04-19 01:55:06;HTTP Attacker|Maltiverse|2023-04-15 04:56:06|2023-04-19 11:36:14;Malicious Host|Maltiverse|2023-04-15 04:19:07|2023-04-19 03:45:32;DDoS attack|Maltiverse|2023-04-15 03:16:05|2023-04-18 11:19:09;SSH Attacker|Maltiverse|2023-04-15 00:06:26|2023-04-18 05:59:27;Hacking|Maltiverse|2023-04-15 00:01:08|2023-04-19 15:20:12;Port Scanner|Maltiverse|2023-04-14 23:03:49|2023-04-19 15:28:09;Malicious Host|HoneyDB|2023-04-22 00:00:00|2024-04-29 00:00:00
ip,185.135.137.86,DE,malicious,Brute force passwords using SSH on server PS1|Blocklist.net.ua|2024-05-03 08:39:22|2024-05-03 08:39:22;Malicious Host|CIArmy|2024-05-01 11:56:50|2024-05-05 11:53:17
ip,46.59.68.175,SE,suspicious,Malicious Host|CIArmy|2020-08-30 13:06:08|2020-09-05 04:05:20;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2020-09-01 06:15:21|2020-09-07 11:29:33;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2020-09-01 06:15:23|2020-09-07 11:29:35;SSH Attacker|Blocklist.de|2020-09-08 03:35:12|2020-09-09 10:12:22;Malicious Host|HoneyDB|2020-09-08 00:00:00|2020-09-08 00:00:00
ip,118.26.104.19,GB,malicious,Mail Spammer|Barracuda|2023-09-01 07:39:18|2023-09-01 07:39:18;Mail Spammer|Abuseat.org|2023-09-01 07:39:18|2023-09-01 07:39:18;IMAP Attacker|Blocklist.de|2024-01-25 02:30:06|2024-01-26 02:41:14;Mail Spammer|Blocklist.de|2023-12-14 02:44:23|2024-02-22 01:50:26;SSH Attacker|Blocklist.de|2023-11-14 02:46:08|2024-04-09 03:55:13;Malicious Host|HoneyDB|2023-10-01 00:00:00|2024-04-16 00:00:00;FTP Attacker|Blocklist.de|2024-04-19 03:07:48|2024-04-20 02:39:10;Malicious Host|CIArmy|2023-09-01 07:39:17|2024-05-05 11:34:09
ip,167.94.145.19,US,suspicious,HTTP Attacker|Blocklist.de|2021-12-03 04:40:16|2021-12-03 04:40:16;Unauthorized scanning of hosts|Blocklist.net.ua|2022-08-29 03:05:34|2023-04-27 04:44:11;Malicious Host|CIArmy|2021-11-20 00:45:07|2024-05-05 11:48:44
ip,167.94.145.29,US,suspicious,HTTP Attacker|Blocklist.de|2021-12-03 04:40:16|2021-12-03 04:40:16;Unauthorized scanning of hosts|Blocklist.net.ua|2022-08-29 03:05:34|2023-04-27 04:44:12;Malicious Host|CIArmy|2021-11-20 00:45:10|2024-05-05 11:48:46
ip,3.144.183.9,US,malicious,Mail Spammer|Abuseat.org|2024-04-08 11:37:41|2024-04-08 11:37:41;Malicious Host|CIArmy|2024-04-08 11:37:40|2024-05-05 11:05:41;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2024-04-10 19:22:23|2024-05-05 19:01:23;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2024-04-10 19:22:34|2024-05-05 19:01:39
ip,37.19.211.30,UA,suspicious,Malicious Host|CIArmy|2022-04-16 03:34:18|2022-04-16 03:34:18;HTTP Spammer|StopForumSpam.com|2021-12-01 06:16:53|2021-12-01 06:16:53;Anonymizer|FireHol|2022-12-29 05:28:23|2022-12-29 16:51:52;Proxy|FireHOL|2022-12-31 16:58:45|2024-04-30 04:29:17
ip,35.203.210.60,US,malicious,Malicious Host|HoneyDB|2023-10-01 00:00:00|2023-11-13 00:00:00;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2023-04-21 11:49:21|2024-05-04 19:58:13;Malicious Host|CIArmy|2023-04-20 08:13:42|2024-05-05 11:09:54;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2023-04-21 11:49:26|2024-05-05 19:10:19
ip,35.203.210.227,US,malicious,Malicious Host|HoneyDB|2023-04-25 00:00:00|2023-11-13 00:00:00;Malicious Host|CIArmy|2023-04-20 08:13:35|2024-05-05 11:09:38;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2023-04-21 11:49:03|2024-05-05 19:09:24;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2023-04-21 11:49:08|2024-05-05 19:09:37
ip,35.203.211.168,US,malicious,Malicious Host|HoneyDB|2023-04-23 00:00:00|2024-04-28 00:00:00;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2023-04-21 11:49:43|2024-05-04 19:59:05;Malicious Host|CIArmy|2023-04-20 08:13:55|2024-05-05 11:10:23;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2023-04-21 11:49:48|2024-05-05 19:11:13
ip,138.199.21.202,JP,malicious,Mail Spammer|Abuseat.org|2023-07-28 01:05:40|2023-07-28 01:05:40;HTTP Spammer|StopForumSpam.com|2023-07-28 01:05:40|2024-04-29 20:28:39
ip,198.235.24.58,CA,malicious,Mail Spammer|Blocklist.de|2023-09-23 02:57:45|2023-09-24 02:55:06;IMAP Attacker|Blocklist.de|2023-09-23 02:45:37|2023-09-24 02:43:13;Unauthorized scanning of hosts|Blocklist.net.ua|2022-09-13 03:55:49|2022-09-13 03:55:49;Mail Spammer|Maltiverse|2022-08-23 23:47:53|2022-08-23 23:47:53;IMAP Attacker|Maltiverse|2022-08-23 23:47:53|2022-08-23 23:47:53;SSH Attacker|Maltiverse|2022-08-23 17:02:47|2022-08-23 17:02:47;SIP Attacker|Maltiverse|2022-08-20 16:06:36|2022-08-20 16:06:36;HTTP Attacker|Maltiverse|2022-08-19 18:19:25|2022-08-26 00:30:08;Bruteforce|Maltiverse|2022-08-19 16:18:17|2022-08-23 23:47:53;Malicious Host|Maltiverse|2022-08-19 16:18:17|2022-08-22 16:53:03;Port Scanner|Maltiverse|2022-08-19 00:05:07|2022-08-26 06:08:40;Hacking|Maltiverse|2022-08-19 00:05:07|2022-08-26 05:53:43;Mail Spammer|Abuseat.org|2023-01-03 06:38:46|2023-01-03 06:38:46;Malicious Host|HoneyDB|2023-01-02 00:00:00|2024-04-11 00:00:00;SSH Attacker|Blocklist.de|2023-02-16 02:24:03|2024-04-27 04:12:03
ip,154.16.81.226,US,suspicious,Mail Spammer|Abuseat.org|2023-12-25 20:06:17|2023-12-25 20:06:17;Proxy|FireHOL|2023-12-25 19:35:58|2024-04-11 19:22:41
ip,124.150.139.86,AU,malicious,Proxy|FireHOL|2023-01-01 23:17:10|2024-01-14 21:09:31;HTTP Spammer|StopForumSpam.com|2022-07-25 04:01:01|2024-04-29 20:13:43
ip,35.203.211.113,US,malicious,Malicious Host|HoneyDB|2023-04-29 00:00:00|2024-01-01 00:00:00;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2023-04-21 11:49:31|2024-05-04 19:58:39;Malicious Host|CIArmy|2023-04-20 08:13:48|2024-05-05 11:10:08;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2023-04-21 11:49:37|2024-05-05 19:10:46
ip,35.203.210.120,US,malicious,Malicious Host|HoneyDB|2023-04-28 00:00:00|2023-11-09 00:00:00;Malicious Host|CIArmy|2023-04-20 08:13:23|2024-05-05 11:09:11;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2023-04-21 11:48:41|2024-05-05 19:08:27;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2023-04-21 11:48:46|2024-05-05 19:08:40
ip,5.189.183.129,DE,suspicious,Scanning IPs|Maltiverse|2017-01-03 04:57:00|2021-02-03 10:10:00
ip,150.158.57.180,CN,malicious,Malicious Host|CIArmy|2024-04-19 12:18:27|2024-05-05 11:41:28
ip,65.51.58.1,,suspicious,HTTP Spammer|Cleantalk.org|2019-05-11 07:31:21|2019-05-11 07:31:21
ip,185.217.1.244,SE,suspicious,Unauthorized scanning of hosts|Blocklist.net.ua|2022-08-29 03:15:06|2023-04-27 05:01:58;DDoS attack|Blocklist.net.ua|2020-04-04 00:31:06|2020-07-04 09:08:43;Malicious Host|Alienvault Ip Reputation Database|2020-02-20 06:52:59|2020-12-15 06:30:22;Malicious Host|CIArmy|2020-02-20 07:24:40|2023-12-01 09:05:14
